url,http_code,final_url,final_ip,size,status
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053299635_-1186732804/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226201/index.m3u8,200,http://111.20.33.99:80/wh7f454c46tw1053297733_435871858/PLTV/88888893/224/3221226201/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=884,111.20.33.99,401,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053300707_-167814121/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://111.21.22.148/PLTV/88888888/224/3221225796/index.m3u8,200,http://111.20.33.71:80/wh7f454c46tw1053298258_-1903462118/PLTV/88888888/224/3221225796/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=103,111.20.33.71,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053301171_485191822/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://111.21.22.148/PLTV/88888888/224/3221225803/index.m3u8,200,http://111.20.33.73:80/wh7f454c46tw1053316148_-605808507/PLTV/88888888/224/3221225803/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=43,111.20.33.73,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8,404,http://39.134.18.115:80/wh7f454c46tw1053321227_1035755836/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8050&prioritypopid=14&online=1790328105&vqe=3,39.134.18.115,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226206/index.m3u8,200,http://111.20.33.89:80/wh7f454c46tw1053336665_247248182/PLTV/88888893/224/3221226206/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=804,111.20.33.89,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8,200,http://39.134.18.179:80/wh7f454c46tw1053340165_1068734477/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8366&online=1790328105&vqe=3,39.134.18.179,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226209/index.m3u8,200,http://111.20.33.78:80/wh7f454c46tw1053337810_429094858/PLTV/88888893/224/3221226209/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=463,111.20.33.78,402,reachable
